"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Anttila 2005"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013730","Ariagno 1987"
"Unclear risk","Low risk","High risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD013730","Avery 1985"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Baden 1972"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013730","Batton 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013730","Baud 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Biswas 2003"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Bonsante 2007"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD013730","Brozanski 1995"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","CDTG 1991"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Cummings 1989"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Cummings 1989a [moderate-dose vs placebo]"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Cummings 1989b [high-dose vs placebo]"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Cummings 1989c [moderate-dose vs high-dose]"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD013730","Da Silva 2002"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013730","Doyle 2006"
"Unclear risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Durand 1995"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD013730","Durand 2002"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Efird 2005"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Garland 1999"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Halac 1990"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Harkavy 1989"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD013730","Hochwald 2014"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Kari 1993"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Kazzi 1990"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Kopelman 1999"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Kothadia 1999"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Kovacs 1998"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Lauterbach 2006"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Lin 1999"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD013730","Malloy 2005"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk","CD013730","McEvoy 2004"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Mukhopadhyay 1998"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Ng 2006"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013730","Noble-Jamieson 1989"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Odd 2004"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Ohlsson 1992"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Onland 2019"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Papile 1998"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Parikh 2013"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Peltoniemi 2005"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Rastogi 1996"
"Unclear risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Romagnoli 1997"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Romagnoli 1999"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Sanders 1994"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Scott 1997"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Shinwell 1996"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Sinkin 2000"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013730","Soll 1999"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013730","Stark 2001"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Subhedar 1997"
"Unclear risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD013730","Suske 1996"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Tapia 1998"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD013730","Vento 2004"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013730","Vincer 1998"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Walther 2003"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Wang 1996"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Watterberg 1999"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013730","Watterberg 2004"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Yates 2019"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Yeh 1990"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013730","Yeh 1997"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD013758","Åkeson 1998"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013758","Axelsson 1988"
"High risk","High risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD013758","Fomon 1995"
"Low risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD013758","Hascoet 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk","CD013758","Koletzko 2009b"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013758","Kouwenhoven 2020"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013758","Liotto 2018"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD013758","Picone 1989"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD013758","Putet 2016"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013758","Räihä 1986a"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD013758","Turck 2006"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Amin 2019"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Anastasiadis 2016"
"High risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013781","Baysal 2014"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Cholley 2017"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013781","De Hert 2007"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013781","Denault 2016"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Desai 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Erb 2014"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Eriksson 2009"
"High risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Ersoy 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Gandham 2013"
"Unclear risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk","Low risk","CD013781","Gatot 2004"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Hadadzadeh 2013"
"Low risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Hu 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Jävelä 2008"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Jo 2010"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD013781","Juhl-Olsen 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Kandasamy 2017"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Kikura 2002"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Kodalli 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Lahtinen 2011"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Leppikangas 2011"
"High risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Levin 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Mehta 2017"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Mishra 2016"
"High risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","High risk","CD013781","Shah 2014"
"High risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD013781","Sharma 2014"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD013781","Tritapepe 2006"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD013781","Tritapepe 2009"
"Unclear risk","Unclear risk",NA,NA,NA,NA,NA,NA,"CD013788","Akbarzadehpasha 2014"
"Unclear risk","Unclear risk",NA,NA,NA,NA,NA,NA,"CD013788","Zomorrodi 2018"
NA,NA,"High risk","High risk",NA,"Unclear risk","Unclear risk","Unclear risk",NA,"Akbarzadehpasha 2014"
NA,NA,"High risk","High risk",NA,"Low risk","High risk","Low risk",NA,"Zomorrodi 2018"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Kempton 2000"
"Unclear risk","High risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD013789","Larsen 2005"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Lindqvist 2001"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Poulstrup 2000"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Pujiula Blanch 2010"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Svanström 1996"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Wijlhuizen 2007"
"Unclear risk","High risk","High risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD013789","Xia 2009"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable",NA,"CD013789","Ytterstad 1996"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Kempton 2000"
NA,NA,NA,NA,NA,"Low risk",NA,"Low risk",NA,"Larsen 2005"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Lindqvist 2001"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Poulstrup 2000"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Pujiula Blanch 2010"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Svanström 1996"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Wijlhuizen 2007"
NA,NA,NA,NA,NA,"Low risk",NA,"High risk",NA,"Xia 2009"
NA,NA,NA,NA,NA,"Not applicable",NA,"Not applicable",NA,"Ytterstad 1996"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","Jonasch 2010"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00065468"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00072046"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00081614"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00098657/NCT00083889"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00117637"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00126594"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00334282"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00420888"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00609401"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00619268"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00631371"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00719264"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00720941"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00732914"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00738530"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00903175"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00920816"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT00979966"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01024920"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01030783"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01064310"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01108445"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01274273"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01392183"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01481870"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01613846"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01835158"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT01984242"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT02231749"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT02420821"
"Not applicable","Not applicable","Not applicable","Not applicable",NA,"Not applicable","Not applicable","Not applicable","CD013798","NCT02684006"
